Year,Inflation,US Stock Market,US Large Cap,US Large Cap Value,US Large Cap Growth,US Mid Cap,US Mid Cap Value,US Mid Cap Growth,US Small Cap,US Small Cap Value,US Small Cap Growth,US Micro Cap,Global ex-US Stock Market,Intl Developed ex-US Market,International ex-US Small Cap,International ex-US Value,European Stocks,Pacific Stocks,Emerging Markets,Cash,Short Term Treasury,Intermediate Term Treasury,10-year Treasury,Long Term Treasury,Total US Bond Market,TIPS,Global Bonds (Unhedged),Global Bonds (USD Hedged),Short-Term Investment Grade,Corporate Bonds,Long-Term Corporate Bonds,High Yield Corporate Bonds,Short-Term Tax-Exempt,Intermediate-Term Tax-Exempt,Long-Term Tax-Exempt,REIT,Gold,Precious Metals,Commodities
1988,0.0442,0.1732,0.1622,0.2016,0.1321,0.1944,0.2496,0.1437,0.2378,0.2900,0.1842,0.2284,0.2566,0.2566,NA,NA,0.1369,0.3052,NA,0.0636,0.0567,0.0526,0.0690,0.0915,0.0735,NA,NA,NA,0.0695,NA,0.0970,0.1356,0.0561,0.1000,0.1224,NA,-0.1526,-0.1419,NA
1989,0.0465,0.2812,0.3136,0.2689,0.3583,0.2600,0.2492,0.2709,0.1941,0.1921,0.1962,0.1016,0.1285,0.1285,NA,NA,0.2818,0.0723,NA,0.0838,0.1148,0.1452,0.1784,0.1793,0.1364,NA,NA,NA,0.1145,NA,0.1518,0.0189,0.0708,0.1000,0.0979,NA,-0.0284,0.3040,NA
1990,0.0611,-0.0608,-0.0332,-0.0702,0.0154,-0.1073,-0.1675,-0.0402,-0.1813,-0.1905,-0.1426,-0.2156,-0.2479,-0.2479,NA,NA,-0.0387,-0.3387,NA,0.0784,0.0992,0.0946,0.0770,0.0578,0.0865,NA,NA,NA,0.0923,NA,0.0621,-0.0585,0.0657,0.0720,0.0502,NA,-0.0311,-0.1986,NA
1991,0.0306,0.3239,0.3022,0.2378,0.4461,0.4044,0.4156,0.3935,0.4526,0.4296,0.4922,0.4426,0.0948,0.0948,NA,NA,0.1240,0.1078,NA,0.0560,0.1149,0.1597,0.1891,0.1743,0.1525,NA,NA,NA,0.1308,NA,0.2090,0.2901,0.0720,0.1216,0.1147,NA,-0.0856,0.0437,NA
1992,0.0290,0.0911,0.0742,0.1548,0.0661,0.1519,0.1950,0.1079,0.1820,0.2823,0.1018,0.2348,-0.1479,-0.1479,NA,NA,-0.0332,-0.1817,NA,0.0350,0.0675,0.0778,0.0723,0.0741,0.0714,NA,NA,NA,0.0719,NA,0.0978,0.1424,0.0471,0.0886,0.0930,NA,-0.0573,-0.1941,NA
1993,0.0275,0.1062,0.0989,0.1826,0.0153,0.1620,0.1718,0.1507,0.1870,0.2110,0.1125,0.2097,0.2992,0.2992,NA,NA,0.2913,0.3546,NA,0.0290,0.0631,0.1143,0.1297,0.1678,0.0968,NA,NA,NA,0.0707,NA,0.1449,0.1824,0.0382,0.1155,0.1345,NA,0.1768,0.9336,NA
1994,0.0267,-0.0017,0.0118,-0.0063,0.0289,-0.0172,-0.0303,-0.0060,-0.0051,-0.0007,-0.0363,0.0309,0.0976,0.0976,NA,NA,0.0188,0.1304,NA,0.0390,-0.0048,-0.0433,-0.0719,-0.0704,-0.0266,NA,-0.0171,NA,-0.0008,NA,-0.0530,-0.0171,0.0163,-0.0212,-0.0576,-0.0840,-0.0217,-0.0542,NA
1995,0.0254,0.3579,0.3745,0.3704,0.3806,0.3322,0.3338,0.3291,0.2874,0.3032,0.3007,0.3448,0.0398,0.0398,0.0116,0.1153,0.2228,0.0275,0.0056,0.0560,0.1211,0.2044,0.2555,0.3009,0.1818,NA,0.2291,NA,0.1274,NA,0.2640,0.1915,0.0599,0.1364,0.1872,0.1213,0.0098,-0.0448,NA
1996,0.0332,0.2096,0.2288,0.2180,0.2374,0.1897,0.2015,0.1748,0.1812,0.2141,0.1024,0.1765,0.0468,0.0468,0.0095,0.0781,0.2125,-0.0782,0.1583,0.0520,0.0439,0.0192,0.0000,-0.0126,0.0358,NA,0.1033,NA,0.0479,NA,0.0120,0.0955,0.0369,0.0420,0.0442,0.3384,-0.0459,-0.0075,NA
1997,0.0170,0.3099,0.3319,0.2978,0.3634,0.2566,0.3508,0.1775,0.2459,0.3544,0.1437,0.2278,-0.0077,-0.0139,-0.2272,-0.0314,0.2423,-0.2567,-0.1682,0.0525,0.0651,0.0896,0.1197,0.1390,0.0944,NA,-0.0090,NA,0.0695,NA,0.1378,0.1191,0.0407,0.0706,0.0929,0.1877,-0.2141,-0.3892,NA
1998,0.0161,0.2326,0.2862,0.1463,0.4221,0.0990,0.0367,0.1727,-0.0261,-0.0268,0.0352,-0.0181,0.1560,0.1651,0.0527,0.1487,0.2886,0.0241,-0.1812,0.0485,0.0736,0.1061,0.1464,0.1305,0.0858,NA,0.1243,NA,0.0657,NA,0.0921,0.0562,0.0432,0.0576,0.0602,-0.1632,-0.0083,-0.0391,NA
1999,0.0268,0.2381,0.2107,0.1258,0.2876,0.1532,0.0312,0.4299,0.2313,0.0335,0.1980,0.3149,0.2992,0.3796,0.1904,0.1630,0.1666,0.5705,0.6157,0.0469,0.0185,-0.0352,-0.0783,-0.0866,-0.0076,NA,-0.0428,0.0029,0.0331,NA,-0.0623,0.0249,0.0258,-0.0050,-0.0353,-0.0404,0.0085,0.2882,NA
2000,0.0339,-0.1057,-0.0906,0.0609,-0.2221,0.1810,0.1980,-0.0628,-0.0267,0.2188,0.0159,0.0067,-0.1561,-0.1429,-0.0308,-0.0016,-0.0821,-0.2574,-0.2756,0.0588,0.0883,0.1403,0.1728,0.1972,0.1139,NA,0.0043,0.0920,0.0817,NA,0.1176,-0.0088,0.0491,0.0924,0.1332,0.2635,-0.0544,-0.0734,NA
2001,0.0155,-0.1097,-0.1202,-0.1186,-0.1293,-0.0050,-0.0084,-0.0602,0.0310,0.1370,-0.0078,0.2398,-0.2015,-0.2194,-0.0459,-0.1526,-0.2030,-0.2634,-0.0288,0.0382,0.0780,0.0755,0.0540,0.0431,0.0843,0.0761,0.0248,0.1083,0.0814,NA,0.0957,0.0290,0.0475,0.0505,0.0454,0.1235,0.0075,0.1833,NA
2002,0.0238,-0.2096,-0.2215,-0.2088,-0.2368,-0.1461,-0.1295,-0.2122,-0.2002,-0.1420,-0.1541,0.0490,-0.1508,-0.1562,0.0579,-0.0852,-0.1795,-0.0932,-0.0743,0.0163,0.0802,0.1415,0.1545,0.1667,0.0826,0.1661,0.2133,0.0929,0.0522,NA,0.1322,0.0173,0.0349,0.0791,0.1012,0.0375,0.2557,0.3335,NA
